method,snr,psnr,mse,ssim,tv
none,-9.88,2.38,3.3362,0.0047,5167.6
wavelet,-0.68,11.58,0.4012,0.1501,292.8
dae,8.04,20.30,0.0539,0.5226,77.0
gmm,9.71,21.97,0.0367,0.6978,46.5
none,-5.12,7.14,1.1148,0.0153,2981.7
wavelet,4.25,16.51,0.1289,0.3108,197.9
dae,13.49,25.75,0.0154,0.8547,63.3
gmm,14.20,26.46,0.0131,0.8365,48.0
none,-0.05,12.21,0.3474,0.0530,1673.8
wavelet,8.64,20.90,0.0470,0.5360,109.0
dae,14.86,27.12,0.0112,0.8864,55.0
gmm,14.83,27.09,0.0113,0.8421,50.9
none,5.12,17.38,0.1055,0.1809,915.4
wavelet,14.71,26.97,0.0116,0.7952,72.0
dae,14.93,27.19,0.0110,0.9092,52.1
gmm,22.79,35.05,0.0018,0.9585,53.7
none,10.09,22.35,0.0336,0.4012,514.8
wavelet,19.33,31.59,0.0040,0.8970,61.3
dae,16.76,29.01,0.0072,0.9561,53.1
gmm,25.84,38.10,0.0009,0.9786,53.6
none,-10.02,2.88,0.8309,0.0033,2547.8
wavelet,-1.29,11.61,0.1114,0.1122,158.3
dae,11.12,24.03,0.0064,0.7164,37.8
gmm,7.11,20.01,0.0161,0.5350,25.5
none,-4.81,8.09,0.2503,0.0145,1426.4
wavelet,4.42,17.32,0.0299,0.3530,84.4
dae,12.38,25.28,0.0048,0.8178,32.5
gmm,13.15,26.06,0.0040,0.7807,25.4
none,-0.12,12.79,0.0849,0.0581,811.7
wavelet,8.77,21.67,0.0110,0.5409,55.6
dae,14.19,27.09,0.0031,0.8595,30.4
gmm,15.40,28.30,0.0024,0.8697,26.1
none,4.98,17.89,0.0262,0.1708,455.0
wavelet,13.80,26.70,0.0034,0.7501,39.4
dae,15.99,28.90,0.0021,0.9222,29.3
gmm,21.77,34.68,0.0005,0.9600,26.7
none,10.02,22.92,0.0082,0.3904,257.4
wavelet,19.47,32.38,0.0009,0.8944,30.7
dae,15.48,28.38,0.0023,0.9302,28.3
gmm,25.57,38.48,0.0002,0.9698,27.2
none,-9.95,2.30,0.5729,0.0030,2128.0
wavelet,-0.95,11.29,0.0722,0.1135,124.3
dae,8.74,20.98,0.0078,0.6178,32.4
gmm,8.15,20.39,0.0089,0.5430,19.4
none,-4.72,7.52,0.1720,0.0135,1151.2
wavelet,3.74,15.98,0.0245,0.2683,73.0
dae,10.75,22.99,0.0049,0.7232,24.2
gmm,11.79,24.03,0.0038,0.6644,21.0
none,0.13,12.38,0.0563,0.0585,681.4
wavelet,9.65,21.89,0.0063,0.5310,41.7
dae,13.63,25.88,0.0025,0.8334,23.2
gmm,17.28,29.52,0.0011,0.8395,20.9
none,4.97,17.21,0.0185,0.1597,387.2
wavelet,14.59,26.84,0.0020,0.6948,31.1
dae,15.49,27.73,0.0016,0.8981,22.8
gmm,21.61,33.85,0.0004,0.8930,20.3
none,9.94,22.19,0.0059,0.3838,216.1
wavelet,18.69,30.94,0.0008,0.8490,25.4
dae,16.04,28.29,0.0014,0.9026,22.8
gmm,24.69,36.93,0.0002,0.9548,20.9
none,-10.03,1.64,0.7277,0.0029,2419.2
wavelet,-0.79,10.88,0.0867,0.1434,143.5
dae,7.51,19.17,0.0128,0.6282,36.4
gmm,8.75,20.42,0.0096,0.6600,23.3
none,-5.11,6.55,0.2346,0.0123,1379.0
wavelet,4.08,15.74,0.0283,0.3066,77.5
dae,10.50,22.17,0.0064,0.8047,28.6
gmm,12.71,24.37,0.0039,0.7576,25.9
none,0.15,11.81,0.0699,0.0532,737.6
wavelet,9.11,20.77,0.0089,0.4983,50.8
dae,15.06,26.72,0.0023,0.8937,27.2
gmm,16.91,28.58,0.0015,0.8554,23.3
none,4.73,16.39,0.0244,0.1450,435.9
wavelet,13.37,25.04,0.0033,0.6975,37.4
dae,16.26,27.92,0.0017,0.9253,26.6
gmm,19.12,30.79,0.0009,0.9201,24.2
none,9.97,21.64,0.0073,0.3620,242.1
wavelet,18.78,30.45,0.0010,0.8540,28.9
dae,16.29,27.96,0.0017,0.9147,26.4
gmm,24.91,36.57,0.0002,0.9547,25.0
none,-9.96,0.98,1.4362,0.0030,3429.7
wavelet,-0.57,10.37,0.1652,0.1866,175.4
dae,7.82,18.76,0.0239,0.6984,50.2
gmm,9.38,20.32,0.0167,0.7373,34.5
none,-4.95,5.99,0.4526,0.0122,1903.8
wavelet,3.85,14.79,0.0597,0.2919,116.1
dae,11.59,22.53,0.0101,0.8132,42.4
gmm,12.36,23.30,0.0084,0.7698,36.5
none,0.09,11.02,0.1421,0.0507,1066.5
wavelet,9.10,20.04,0.0178,0.5450,72.3
dae,15.83,26.76,0.0038,0.8859,43.7
gmm,17.52,28.46,0.0026,0.8977,37.3
none,4.90,15.83,0.0469,0.1509,618.2
wavelet,13.81,24.75,0.0060,0.7558,52.1
dae,15.91,26.84,0.0037,0.8955,41.9
gmm,21.09,32.02,0.0011,0.9314,38.9
none,10.17,21.11,0.0139,0.3731,334.7
wavelet,19.36,30.30,0.0017,0.8914,44.7
dae,16.07,27.00,0.0036,0.9164,41.2
gmm,26.61,37.55,0.0003,0.9793,38.9
