method,snr,psnr,mse,ssim,tv
none,-10.11,2.15,3.5193,0.0024,5387.2
wavelet,-0.48,11.78,0.3836,0.1533,271.1
gmm,4.00,16.26,0.1366,0.3883,30.1
none,-4.87,7.39,1.0529,0.0153,2847.0
wavelet,3.84,16.10,0.1418,0.3472,167.9
gmm,8.65,20.91,0.0468,0.6301,44.3
none,-0.20,12.05,0.3598,0.0579,1700.1
wavelet,9.31,21.56,0.0403,0.5667,109.0
gmm,11.54,23.80,0.0241,0.7828,43.7
none,4.93,17.19,0.1103,0.1682,937.6
wavelet,13.97,26.23,0.0138,0.7410,104.4
gmm,14.79,27.05,0.0114,0.8897,45.2
none,9.83,22.09,0.0357,0.3912,532.3
wavelet,18.54,30.80,0.0048,0.8916,64.7
gmm,17.35,29.61,0.0063,0.9396,47.0
none,-10.26,2.64,0.8785,0.0024,2711.6
wavelet,-1.12,11.78,0.1070,0.1408,139.9
gmm,5.00,17.91,0.0261,0.4160,27.8
none,-4.98,7.93,0.2599,0.0179,1457.8
wavelet,3.88,16.78,0.0339,0.3293,88.6
gmm,9.18,22.09,0.0100,0.6700,27.9
none,-0.03,12.87,0.0832,0.0570,813.6
wavelet,8.58,21.48,0.0115,0.5479,59.5
gmm,13.85,26.75,0.0034,0.8203,26.1
none,4.95,17.86,0.0264,0.1756,472.0
wavelet,14.53,27.44,0.0029,0.7699,38.3
gmm,17.50,30.40,0.0015,0.9058,25.0
none,10.11,23.01,0.0081,0.3905,259.2
wavelet,19.49,32.39,0.0009,0.8862,30.8
gmm,19.92,32.82,0.0008,0.9468,25.1
none,-9.91,2.33,0.5680,0.0030,2120.0
wavelet,-1.10,11.15,0.0746,0.1240,125.6
gmm,5.50,17.74,0.0164,0.4313,24.5
none,-4.88,7.37,0.1783,0.0161,1166.5
wavelet,4.59,16.83,0.0202,0.3159,72.3
gmm,9.84,22.08,0.0060,0.6209,23.2
none,0.14,12.39,0.0561,0.0560,671.0
wavelet,9.17,21.42,0.0070,0.5046,44.1
gmm,13.53,25.77,0.0026,0.7389,21.6
none,4.79,17.04,0.0192,0.1574,390.6
wavelet,13.42,25.66,0.0026,0.6922,32.8
gmm,17.88,30.13,0.0009,0.8351,20.8
none,10.06,22.30,0.0057,0.3824,211.9
wavelet,19.16,31.41,0.0007,0.8509,25.6
gmm,20.98,33.23,0.0005,0.9250,19.6
none,-10.00,1.67,0.7227,0.0027,2351.9
wavelet,-1.30,10.37,0.0974,0.1455,145.8
gmm,6.56,18.23,0.0160,0.4712,27.3
none,-5.05,6.61,0.2314,0.0115,1345.1
wavelet,3.97,15.64,0.0290,0.3022,87.1
gmm,9.73,21.40,0.0077,0.6566,25.1
none,-0.07,11.60,0.0734,0.0499,767.9
wavelet,8.88,20.54,0.0094,0.4778,54.2
gmm,13.80,25.47,0.0030,0.7514,24.1
none,4.91,16.57,0.0234,0.1510,429.9
wavelet,13.92,25.58,0.0029,0.7153,34.5
gmm,16.68,28.34,0.0016,0.8568,23.4
none,10.05,21.71,0.0071,0.3670,238.4
wavelet,19.13,30.79,0.0009,0.8689,28.0
gmm,19.74,31.41,0.0008,0.9368,23.0
none,-9.83,1.11,1.3939,0.0026,3286.1
wavelet,-1.37,9.57,0.1986,0.1325,224.6
gmm,5.11,16.05,0.0447,0.4536,30.2
none,-5.10,5.84,0.4688,0.0121,1917.8
wavelet,4.02,14.95,0.0575,0.3113,120.1
gmm,8.58,19.52,0.0201,0.6545,33.5
none,0.07,11.01,0.1425,0.0477,1057.2
wavelet,8.93,19.87,0.0185,0.5495,68.9
gmm,12.20,23.14,0.0087,0.7696,35.0
none,4.99,15.93,0.0460,0.1507,612.4
wavelet,13.84,24.78,0.0060,0.7469,53.1
gmm,15.78,26.72,0.0038,0.8957,34.9
none,10.15,21.08,0.0140,0.3769,338.0
wavelet,19.04,29.98,0.0018,0.9003,44.0
gmm,19.22,30.15,0.0017,0.9530,35.5
